"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"1038-009685","009685","Akácvirág utca (egészségház)","47.477351","19.255241","","","0","","","","1","",""
"1038-009691","009691","Flórián tér","47.539901","19.042054","","","0","","","","1","",""
"1038-009692","009692","Szentlélek tér H","47.539937","19.046755","","","0","","","","1","",""
"1038-009693","009693","Kolosy tér","47.527678","19.036823","","","0","","","","2","",""
"1038-009698","009698","Székács utca","47.49837","19.015183","","","0","","","","1","",""
"1038-009699","009699","Székács utca","47.498245","19.015329","","","0","","","","1","",""
"1038-009704","009704","Jászivány utca","47.495409","19.275378","","","0","","","","1","",""
"1038-009705","009705","Tura utca / Diadal utca","47.49439","19.272268","","","0","","","","1","",""
"1038-009706","009706","Xviii. utca","47.491598","19.259995","","","0","","","","1","",""
"1038-009707","009707","Aranykút utca","47.493758","19.277998","","","0","","","","1","",""
"1038-009708","009708","Rákoscsaba vasútállomás","47.491547","19.28189","","","0","","","","1","",""
"1038-009715","009715","Zodony utca","47.430331","19.099898","","","0","","","","2","",""
"1038-009716","009716","Pesterzsébet vasútállomás","47.433454","19.095738","","","0","","","","2","",""
"1038-009717","009717","Zamárdi utca","47.434256","19.093472","","","0","","","","1","",""
"1038-009718","009718","Vízisport utca","47.434463","19.091352","","","0","","","","1","",""
"1038-009719","009719","Csepeli átjáró","47.436351","19.093381","","","0","","","","1","",""
"1038-009728","009728","Zsigmond utca","47.463981","19.318336","","","0","","","","1","",""
"1038-009729","009729","Zsigmond utca","47.463973","19.317686","","","0","","","","2","",""
"1038-009730","009730","Széll Kálmán tér M","47.506881","19.023541","","","0","","","","1","",""
"1038-009743","009743","MOM Kulturális Központ","47.490349","19.019528","","","0","","","","1","",""
"1038-009747","009747","Ezred utca, lakótelep","47.609007","19.101441","","","0","","","","1","",""
"1038-009748","009748","Európa Center","47.605157","19.103711","","","0","","","","1","",""
"1038-009753","009753","Blaha Lujza tér M (Népszínház utca)","47.495999","19.071283","","","0","","","","2","",""
"1038-009763","009763","Zsófialiget H","47.548044","19.263894","","","0","","","","2","",""
"1038-009764","009764","Zsófialiget H","47.547898","19.263369","","","0","","","","2","",""
"1038-011302","011302","Farkas-erdő (Állatsziget)","47.586742","19.103401","","","0","","","","1","",""
"1038-011304","011304","Csengettyű utca","47.464082","19.110302","","","0","","","","1","",""
"1038-011305","011305","Csengettyű utca","47.463974","19.110196","","","0","","","","2","",""
"1038-011306","011306","Mártírok útja / Határ út","47.451482","19.108418","","","0","","","","1","",""
"1038-011307","011307","Mártírok útja / Határ út","47.452201","19.109731","","","0","","","","2","",""
"1038-011309","011309","Jókai Mór utca / Határ út","47.448471","19.103946","","","0","","","","1","",""
"1038-011310","011310","Jókai Mór utca / Határ út","47.447734","19.103004","","","0","","","","2","",""
"1038-011311","011311","Ősz utca","47.44582","19.099952","","","0","","","","1","",""
"1038-011312","011312","Ősz utca","47.446152","19.100616","","","0","","","","2","",""
"1038-011313","011313","Szent László utca","47.405823","18.999264","","","0","","","","1","",""
"1038-011316","011316","Atlétikai stadion","47.572468","19.113937","","","0","","","","2","",""
"1038-011317","011317","Atlétikai stadion","47.572108","19.11395","","","0","","","","2","",""
"1038-011319","011319","Móricz Zsigmond körtér M","47.477527","19.048628","","","0","","","","1","",""
"1038-011320","011320","Búza utca","47.55341","19.040272","","","0","","","","1","",""
"1038-011321","011321","Búza utca","47.551863","19.039634","","","0","","","","1","",""
"1038-011322","011322","Óbuda, Bogdáni út","47.54983","19.041189","","","0","","","","1","",""
"1038-011325","011325","Halászbástya (Schulek Frigyes lépcső)","47.50224","19.035339","","","0","","","","2","",""
"1038-011327","011327","Budaörsi Ipari és Technológiai Park","47.46331","18.894407","","","0","","","","2","",""
"1038-011495","011495","Kék Golyó utca","47.497895","19.019895","","","0","","","","1","",""
"1038-011577","011577","Soroksár, központi raktárak","47.378703","19.130043","","","0","","","","2","",""
"1038-011715","011715","509. utca","47.484937","19.22547","","","0","","","","1","",""
"1038-011722","011722","Rákoskeresztúr, városközpont","47.479663","19.254959","","","0","","","","1","",""
"1038-011723","011723","Rákoskeresztúr, városközpont","47.479536","19.255542","","","0","","","","1","",""
"1038-011724","011724","Rákoskeresztúr, városközpont","47.479373","19.256098","","","0","","","","1","",""
"1038-011725","011725","Rákoskeresztúr, városközpont","47.479802","19.255489","","","0","","","","1","",""
"1038-011726","011726","Rákoskeresztúr, városközpont","47.479942","19.254761","","","0","","","","1","",""
